id,name,website
8196e411-b7dd-446e-930b-b563e217a51b,Alte Waldschänke,https://www.wiesenstein.de/
fdc5474c-25a7-4c34-9d53-317b55f81f5e,Altensteiner Krug,https://altensteinerkrug.com/
b5a56c2a-de1d-4efd-a5f9-647bdcc44302,Alter Krug,https://www.zum-alten-krug-rudow.de/
346a27d9-8b10-4ee9-ad0b-5fb059221196,Alto,https://www.adinahotels.com/apartments/berlin-hackescher-markt/dining/
de5ac0c9-6857-468b-b6d4-f4db60ff9557,ALvis,https://www.alvis-restaurant.de/restaurant/
a9b36452-c281-42b6-b689-4d52877665d6,Amami,https://www.amamiberlin.de/
7db0432b-4f48-4770-bf8f-8d734c2640f5,Amba,https://ambaberlin.de
84c9582d-1f8b-427e-9497-0e6545434f4c,Ambe,https://menu.happz.de/l/ambe-berlin
4c3165fc-ef89-46b5-8cda-be2cb87d5a2b,Ambrosios,https://www.ambrosios-berlin.de/
e3506645-f7d9-4160-b189-ea24f23418c2,Amici Amici,https://www.amici-amici.de/
dfefe58c-e187-4470-ae54-d33425343753,Amma,https://www.amma-berlin.de/
cef7bdef-67e2-47ad-aa55-1f6cd48c4561,Amma,https://www.amma-berlin.de/
15c933f6-a652-4291-9493-04e34e13bd78,Amoag,https://www.amoag-sudanische-spezialitaeten.de/
ed9a7f72-f41e-475b-b3d6-014525c7e99b,Amrit,https://www.amrit.de/
205f72e1-9439-4aad-840f-2368c35955d2,Amrit (Schöneberg),https://www.amrit.de/indisches-restaurant-berlin-schoeneberg/
0fd422bf-f8cb-415a-8ec6-0000ac4a33e8,Amy's Coffee,https://amyscoffee.de
9aa9a766-2fc6-49da-aa7a-d52f4f3e6ca0,Anabelas Kitchen,https://www.anabelas-kitchen.de/
9fb8a46a-c523-464e-8241-8956e1c516e2,Anand,https://restaurant-anand.de/
bca3be3e-d6e2-4f28-964a-3705b07fca93,Anappurna,http://anappurna-restaurant.de
aa6e4e71-e118-40cb-9038-05fa983c8dc1,Anastasia,http://www.restaurant-anastasia.de
7e7ceb2e-ca9c-46ac-9ae1-59851c3df93d,AndaLucia,https://www.andalucia-berlin.de/
aca706d3-16a5-4de7-a36f-4ee3f290c606,Andaz,https://andazberlin.de/
ad4b2f0f-e0cb-48df-a0e7-7c33c69900f5,Andy's Diner & Bar (closed permanently),https://andysdiner-messe.de/
a26b24af-788e-490b-b949-08fd341cc3d7,Angkor Borey,https://kambodschanisches-restaurant-berlin.de
d064545a-11c9-4985-9cb8-033c5bae4989,Animor,http://www.animor-net.de/
ca9a22df-dc50-46a7-bb7c-7abb008e761e,Anjappar,https://anjappar-berlin.de/
3ffd0a79-0ad8-46ba-82d9-e8cdf8398d3f,Anjoy,https://www.anjoy-restaurant.de/
53276085-ffbe-438d-ba8d-8b07edfd7e18,Anna Kim,https://www.ha-c-vietnamesiche-kueche-sushi-berlin.de/
6eaef635-7e55-463a-b3ec-ac0ae6472e7c,Antep Etoğlu Sofrasi,http://www.etoglu.com/
3cad5238-e037-47ef-8633-a6f3d31130c8,Anthony Bacon - Burger-Restaurant,https://www.anthonybacon.de/
12d827d5-0f07-4c11-b088-d4888a99eb00,Antica Lasagneria,http://www.ilpunto.net/main.php?web_id=1
1e309d4c-6c5f-4816-bbfd-514fddf26237,Antica Roma,https://www.antica-roma-treptow.de/
244f4709-d5f6-45aa-b5d6-b00aa762d36c,Antonello's Cevicheria & Street Food,https://cevicheriastreetfood.de/
a5273882-74a9-4e1a-a56c-9df47069beb8,Apne Berlin,http://www.restaurant-apne1.de/
639d6388-4a6d-40c0-ba58-1d5df181d46b,aprikosenbaum,http://aprikosenbaum-berlin.de/
67fec2d9-274e-4e93-ab2d-913d3a7b31ef,Arata,https://arata.eatbu.com/
e822444d-f8b2-40e4-98da-b608b5405116,Aroma,https://www.aroma-kantstrasse.de/
510d2120-5b6f-4e60-a1b3-815e9357e13e,Ars Vivendi,https://www.arsvivendi-catering.de/
0fda2699-1463-4a11-b31e-42f536dc5f87,Artemis,https://www.griechisches-restaurant-artemis.de/
df8c0cd8-de29-477b-819f-36655d3ddf02,Asado,http://www.asado-steakhaus.de
9ae2bccf-6893-4a92-bc1d-48ee6f48565b,Asia Deli,https://asia-deli.eatbu.com/
3ab372a2-b2b0-4ce2-a5a9-5be824c8a70d,Asia Gondel,https://www.asiagondelberlin.de/
5db222a1-6d3c-4f3c-816f-280678458124,Asia Koy Restaurant,http://www.asia-koy-restaurant.de/
6b83519f-63e3-43c4-afdf-f788b91d680b,Asia light,http://www.asialight.de/
d9dea736-00a5-43f3-a9f7-8e8cc1fc0994,Asia Rong-Vang,https://www.rong-vang.de/
b56bdaaf-476d-4578-b940-aec6fb134978,Asia Time,http://asiatime-berlin.de
8b6405d3-3d50-472e-b07b-7c6fe6811997,Asia-Park,https://www.asiaparkberlingruenetriftamwalde.de/
2bf47a9e-2e43-4ffa-89f9-0ea2224dbdad,Asien Farmhouse,https://www.asien-farmhouse.de/
8468036d-107a-40f0-9f5f-a8f2e84fa116,Atame,http://atame-tapasbar.de
d0130389-36c2-4ea9-9201-9afcd41af6da,Athen,https://www.athen-adlershof.de/
b759b3e9-d88c-4820-9899-d20ca54445b1,Athena Roma,https://www.athena-roma.de/
d6b09de4-d8a0-4bd7-99f5-9a9aa579f3a9,Atila's Kebap Haus,https://atilas-kebaphaus.de/
337cece2-c7d7-45a5-90bc-e2c464aab5ee,Atlantik Fischrestaurant,http://www.atlantik-fisch-restaurant.de/
3e230a62-f616-49b1-b0db-cffdeaa2e2bb,Attila,https://www.restaurant-attila.de/
88af837f-72ca-491e-9ece-821b28575602,Augustiner auf Bötzow Wirtshaus,https://augustiner-boetzow.berlin/
1fa1c184-f5fa-4263-99a2-2a2e4e425f9e,Ausbildungsrestaurant Am Kuhgraben,https://www.sozdia.de/Kuhgraben.87.0.html
374c528a-ef86-463a-8a54-073c3e6b0ec4,Austernbank,https://www.austernbank-berlin.de/
9e4698f7-62ca-4696-b7d8-1a53438130ca,Avatar,https://avatar.berlin/
8e237a03-dd0d-4fbf-b57f-81133867401a,Aventuras,http://www.aventuras-berlin.de
b6a8988f-01d9-4c4e-8140-11bf8f74583d,AVIV 030,https://aviv030.com/
6c12908b-19c6-4fc0-9ccb-3c1005c4c647,Babaleison,https://babaleison.com/
63122f05-e40e-4535-8285-077950d3b147,Babami,https://babami.de/
48676ef4-1f4d-4a19-a5da-a60a5b614329,babbo bar,https://www.babbo-bar.com/
473c1a1f-550c-48c6-9422-0f5a6bf8a338,Babikyu,https://babikyu.website/
72bc7edf-3995-49c7-9c89-c8e2dbe9233e,Babu,https://babu-berlin.de/
752b60a1-92e8-4758-bf9d-f2c9342f49fa,Babu2,http://babu-restaurant.com
742891ce-8551-4fdf-b242-7f5b1a0c3802,Badenscher Hof,https://www.badenscher-hof.de
8817aa34-777e-42e9-9cff-610ec8198ec0,Bahar Restaurant,https://bahar-berlin.de/
49c6429c-f682-4e4b-8a1a-faa754c5e484,Bamboo,http://www.bamboo-berlin.de/
e85fd06b-6726-4269-a64d-2662e5e977dc,Bamboo’s Hut Asiatische Küche & Sushi Bar,http://bambooshut.de
31ae6d1b-bf7a-4fe7-84b0-a9140e74a9b1,Bambus am See,https://bambusamsee.de/
d2de4de4-3f79-49d5-b57b-8cc0819bdce5,Bami 789,https://www.thaifoodbami.de/
ef82a909-ba38-447f-b6f6-41f103b367b2,Bangkok Treffpunkt,https://bangkok-treffpunkt.de/
1ab4bc43-0cab-48dc-b7ba-2f9240507704,Banh Xeo Saigon,https://banhxeosaigon.de
a7ff2276-0856-43da-a85f-2a25ed743ae0,Bantabaa Food Dealer,https://bantabaafooddealer.eu/
2fa73e55-33db-4271-81e3-bec78b81338a,Bar - Batumi,https://bar.batumi-berlin.de/
40ea656a-ef01-4864-be7a-fb111f1fc237,Bar & Bistro La Havanita im centrovital Hotel,https://www.centrovital-berlin.de/bar-und-bistro/
b3db728a-bfa7-4170-b28b-f41d409e9e14,Bar Brass,https://www.barbrass.de
30cb77ea-4611-4e4c-bb86-6d18d3beaaff,Baraka,http://restaurant-baraka.com/
f0608e06-1938-4367-a601-e384e1f5a047,Barcelona,http://www.barcelona.berlin
e1d163e1-3dc6-4912-8ed6-b33da0dccd2b,Bardele,https://www.bardeleberlin.com
9f596de8-915d-48c2-b591-411bc67ba8ba,Bardolino,https://bardolino-online.de/
3e3b1600-66d5-4f44-9d63-b3bfbda4c16b,Barist,https://www.barist.de/
019dbf04-09b9-4f9a-81d3-8d162047c330,Batumi,https://batumi-berlin.de/
a9bcb485-34f4-43a9-a446-23a457b01256,Bavarian,http://www.bavarium-berlin.de
